,Job Title,Salary Estimate,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,hourly,Employer_provided,min_salary,max_salary,avg_salary,company_txt,job_state,age
64,Data Scientist,$77K - $113K (Glassdoor est.),3.8,"DICK'S Sporting Goods
3.8","Melville, NY",10000+ Employees,1948,Company - Public,Sporting Goods Stores,Retail & Wholesale,$5 to $10 billion (USD),0,0,77.0,113.0,95.0,"DICK'S Sporting Goods
", NY,75
65,Technical Associate I/Data Scientist,$85K - $122K (Glassdoor est.),4.3,"MIT
4.3","Cambridge, MA",10000+ Employees,1861,College / University,Colleges & Universities,Education,$1 to $5 billion (USD),0,0,85.0,122.0,103.5,"MIT
", MA,162
66,DATA SCIENTIST,Employer Provided Salary:$82K - $139K,3.2,"Durham County
3.2","Durham, NC",51 to 200 Employees,-1,Government,Municipal Agencies,Government & Public Administration,$1 to $5 million (USD),0,1,82.0,139.0,110.5,"Durham County
", NC,-1
67,Data Scientist I - Energy Applications,Employer Provided Salary:$136K,4.0,"Pacific Northwest National Laboratory
4.0",United States,5001 to 10000 Employees,1965,Company - Private,Energy & Utilities,"Energy, Mining & Utilities",$1 to $5 billion (USD),0,1,136.0,136.0,136.0,"Pacific Northwest National Laboratory
",remote,58
68,Data Scientist,$84K - $121K (Glassdoor est.),3.8,"Security Benefit
3.8","Topeka, KS",1001 to 5000 Employees,1891,Company - Private,Investment & Asset Management,Financial Services,Unknown / Non-Applicable,0,0,84.0,121.0,102.5,"Security Benefit
", KS,132
69,Data Scientist - Monterrey,$82K - $113K (Glassdoor est.),4.1,"John Deere
4.1","Mexico, MO",10000+ Employees,1837,Company - Public,Machinery Manufacturing,Manufacturing,$10+ billion (USD),0,0,82.0,113.0,97.5,"John Deere
", MO,186
70,Data Scientist/Statistician,$119K - $172K (Glassdoor est.),4.0,"University of California San Francisco
4.0","San Francisco, CA",10000+ Employees,1864,College / University,Colleges & Universities,Education,$25 to $100 million (USD),0,0,119.0,172.0,145.5,"University of California San Francisco
", CA,159
71,Data Scientist,$136K - $185K (Glassdoor est.),3.9,"Pinterest
3.9","San Francisco, CA",1001 to 5000 Employees,2010,Company - Public,Internet & Web Services,Information Technology,$100 to $500 million (USD),0,0,136.0,185.0,160.5,"Pinterest
", CA,13
72,Associate Data Scientist,Employer Provided Salary:$65K - $131K,4.0,"Tencent
4.0","Palo Alto, CA",10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,0,1,65.0,131.0,98.0,"Tencent
", CA,25
73,Data Scientist,Employer Provided Salary:$61K - $147K,3.9,"PayPal
3.9","San Jose, CA",10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),0,1,61.0,147.0,104.0,"PayPal
", CA,25
